,text,emotion
86,"Sambil mengambil jalan pintas melalui taman Vasa, saya dikelilingi oleh tiga orang yang mencoba mencuri uang saya. Saya takut dan hanya diselamatkan oleh penampilan orang lain.",1
87,"Di sebuah restoran, saya mengamati bagaimana orang-orang gipsi mencoba mendapatkan uang dengan menipu orang asing itu bukan bahasa Swedia. Kemarahan saya tidak ada hubungannya dengan kebencian terhadap orang asing, tapi itu adalah ungkapan amarah yang saya rasakan saat melihat orang-orang digunakan.",2
88,"Pada awal kursus baru, seseorang takut menghadapi masalah yang tidak bisa diatasi. Pikiran berputar seputar kegagalan subjek dan konsekuensi yang dimilikinya untuk masa depan.",3
89,"Sambil berjalan-jalan di kota, saya melihat bagaimana polisi mengganggu orang yang berada di bawah pengaruh alkohol. Mereka takut dengan penangkapannya dengan mengemudi di belakangnya di jalan pejalan kaki. Rasa jijik saya diarahkan pada gerak tubuh dan ekspresi wajah polisi; mereka sepertinya menikmati diri mereka sendiri.",4
90,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
91,Ketika saya mengetahui bahwa saya telah melewati dua ujian terakhir dengan selisih tiga tanda.,0
92,Saat ayah saya sedang sakit dan sedang menunggu hasil tesnya.,1
93,Ketika saya tertangkap basah menuangkan hujan Kamis lalu dan tidak memiliki jas hujan pada saya.,2
94,Saat saya gagal dalam ujian.,3
95,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
96,Ketika saya melahirkan anak saya dan melihat bahwa dia hidup dan saya telah berhasil dengan baik. Dia lahir satu bulan terlalu dini dengan paru-paru yang tidak berfungsi. Ini terjadi setahun yang lalu.,0
97,Ketika saya mengetahui bahwa ayah saya menderita kanker paru-paru dan mereka tidak tahu berapa lama dia akan hidup.,1
98,"Ketika seorang rekan meminta bantuan saya di tempat kerja, terlepas dari kenyataan bahwa dia memiliki lebih banyak waktu untuk melakukannya daripada yang saya miliki.",2
99,Ketika saya tidak mendapatkan kenaikan gaji yang saya harapkan dan mengerti betapa sedikit pekerjaan seseorang dihargai.,3
100,"Saat aku menyiangi kebun, aku menemukan seekor kadal di tanganku.",4
101,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
102,"Malam tahun baru 1983/1984, saya bertemu dengan pacar saya. Kami berdiri di tangga di luar rumah orang tuanya dan aku menciumnya untuk pertama kalinya.",0
103,"Ketika saya dihentikan oleh polisi polos karena mobil yang saya kendarai telah terbalik di Avenue. Saya telah mengemudi terlalu cepat, dan saya takut saat saya berhenti, tanya dan kemudian toild untuk pergi. Situasinya berakhir dengan gembira karena tidak ada konsekuensinya.",1
104,Editor mengubah judul sebuah artikel yang telah saya tulis. Dia menganggap hal tersebut sebagai penghinaan terhadap orang yang saya tulis.,2
105,"Seorang kenalan dekat keluarga meninggal karena kanker paru-paru. Meski diharapkan, saya masih merasa tertekan.",3
106,"Ketika saya melihat sebuah gambar, di Gothenburg Post, sebuah mobil yang benar-benar hancur dengan dua penumpang yang terluka parah. Mobil itu rusak parah sehingga mereka tidak bisa mengeluarkan mayat di tempat kejadian.",4
107,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
108,Ketika saya mendapat pinjaman untuk studi saya.,0
109,Saya bertemu orang-orang mabuk dengan niat meragukan di sebuah gang belakang pada suatu Rabu malam.,1
110,Di T.V saya melihat sebuah fitur berita di Afrika Selatan. Seorang polisi menyerang sekelompok orang kulit hitam dengan cambuk.,2
111,Gagasan harus membaca buku membosankan dari 400 halaman dalam bahasa Inggris.,3
112,Groveling orang.,4
113,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
114,"Mengamati seseorang di kafetaria dengan ribut menelan makanannya, memiliki perilaku yang sangat buruk.",4
115,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
116,Ketika saudaraku - setelah riwayat satu aborsi dan satu kelahiran mati - melahirkan seorang anak laki-laki yang sangat sehat.,0
117,"Ketika kakak perempuan saya melahirkan anak yang masih terlahir, dia sangat dalam, dan butuh waktu lama untuk pulih kembali.",1
118,"Kami memulai sebuah proyek siswa, dan guru yang kami ajak bicara sangat negatif dan tidak terlalu membantu.",2
119,"Ketika pacar saya secara terbuka mengecewakan saya, lebih memilih cewek lain.",3
120,"Aku merasa jijik untuk pacarku untuk sementara waktu, setelah dia meninggalkanku.",4
121,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
122,"Kunjungan tak terduga oleh seorang teman dekat, yang belum pernah saya lihat selama setengah tahun.",0
123,"Aku berjalan keliru ke zona aman dari jarak tembak, dan ditembak.",1
124,Diperlakukan tidak adil,2
125,Putus dengan cewek,3
126,Tidak ada.,4
127,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
128,"Ketika saya diterima sebagai mahasiswa di perguruan tinggi, tidak mengira mungkin.",0
129,"Ketika saya yang pertama tiba di tempat kejadian setelah kecelakaan, dan menemukan bahwa teman sekolah yang dekat telah terbunuh.",1
130,"Saya dituduh melakukan sesuatu, yang saya tidak dan menjadi sangat marah.",2
131,Saat nenekku meninggal.,3
132,Tak dapat diterapkan.,4
133,"Beberapa tahun yang lalu saat liburan musim panas, saya sedang memancing di danau bersama suami saya. Tiba-tiba hujan mulai turun sementara matahari masih bersinar. Saya mengalami perasaan gembira, bahagia dan terpenuhi. Seluruh alam itu penuh dengan musik.",0
134,"Saya sendirian di rumah, di tempat tidur membaca majalah womens 'di mana ada storiees pengalaman paranormal. Kaki saya terasa gatal dan saya meregangkan tangan untuk menggaruk dan saya merasakan tangan lain yang aneh. (kemudian saya menyadari bahwa itu adalah sudut selimut)",1
135,"Saya kuliah dan sekali lagi dibatalkan, ini untuk kedua kalinya. Seseorang memiliki sikap negatif terhadap dosen.",2
136,"Saya mendengar bahwa seorang mantan atasan saya telah meninggal, saya kemudian pulang ke rumah untuk membacanya di koran dan saya memikirkan interaksi kami dan bagaimana hal itu tidak mungkin lagi terjadi. Ruang lingkup hidup manusia yang terbatas itu menyedihkan.",3
137,Di dalam trem ada seorang wanita berwajah gemetar dan gemuk di hadapanku yang menanyakan arah dengan suara tebal. Saat dia bangun untuk mencium bau air kencing yang menjijikan darinya. Saya merasa bahwa saya akan tercekik.,4
138,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
139,"Saya memiliki pekerjaan musim panas di Swedia, dan pacar saya datang menemui saya di hari ulang tahun saya.",0
140,"Saya berlatih di Swedia selama musim panas, dan saya takut saya tidak melakukannya dengan baik.",1
141,"Di pondok liburan asosiasi kami, dua teman saya datang untuk membangunkan saya pagi-pagi sekali dengan membawa sebuah radio bermain di volume tertinggi ke dalam kamar saya - ini adalah layanan pagi yang paling keras.",2
142,Nenek saya meninggal mendadak musim panas lalu.,3
143,"Atasan saya di pekerjaan musim panas menipu pelanggan sebanyak yang dia bisa, dan pernah menempatkan saya dalam situasi yang sulit setelah itu saya tidak bisa tapi membencinya.",4
144,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
145,"Saya diberitahu dengan tak terduga bahwa seseorang ingin saya menjadi wakil ketua organisasi kemahasiswaan kami. Saya benar-benar terkejut dan kegembiraan adalah emosi pertama yang saya rasakan, meski dibalik itu ada kekhawatiran - bagaimana saya bisa sukses?",0
146,"Kelompok tutorial kami akan segera dibagi, dan kami mendapat daftar nama mahasiswa baru, dari lima di antaranya ada di kelompok saya. Kami membaca nama dan kemudian masing-masing kelompok menempuh jalannya sendiri ke ruang seminar. Saya bertanya-tanya bagaimana saya bisa mengatasi situasi baru dan apakah saya akan berhasil sebagai pemimpin kelompok.",1
147,"Kami berada di disko dan malam sama sekali tidak menyenangkan. Meskipun saya tidak tahu mengapa, saya marah dengan teman saya. Aku membiarkan dia merasakan humor burukku karena aku tidak bisa menyembunyikan perasaanku.",2
148,"Nenekku meninggal, dan ibuku meneleponku pada suatu hari Minggu pagi di musim gugur. Cara ibuku memberitahuku tentang hal itu, aku membencinya saat itu juga. Dia terdengar seolah-olah dia telah menunggu kematian nenekku. Saya telah kehilangan seseorang yang dekat dengan saya. Aku juga merasa bersalah karena nenekku terlambat. Aku tidak tenang saat dia tidak lagi mengerti semuanya dengan baik.",3
149,"Di stasiun bawah tanah, seorang pemabuk datang untuk berbicara dengan saya. Dia mencoba bertanya kepada saya sesuatu tapi saya tidak menjawab sehingga dia mulai berbicara tentang saya dengan rekannya. Aku membenci pria menggeram yang kotor ini.",4
150,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
151,"Tadi malam saya ngobrol dengan sesama siswa. Saya mengenalnya sekitar setengah tahun, dan untuk pertama kalinya kami berbicara ""bahasa yang sama"" - yang berarti diskusi dan perjumpaan yang inspiratif.",0
152,"[Saya kadang-kadang bertengkar dengan ibu saya karena dia menyalahkan saya, meskipun saya sama sekali tidak terhubung dengan beberapa kejadian.]",2
153,"Setelah mendengar tentang kematian kakek saya. Pertama saya tidak bisa mempercayainya, tapi kemudian saya menangis dan merasa situasinya tidak ada harapan. Aku merasa kesepian dan ingin dihibur.",3
154,"Di malam hari, saat saya menonton TV, adik laki-laki saya masuk dan mulai makan makanan yang dia bawa dari dapur saat saya mencoba berkonsentrasi pada program ini.",4
155,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
156,"Saya bertemu dengan seorang teman baik saya setelah waktu yang lama. Saya mengungkapkan perasaan saya dengan cara biasa kita sendiri, dengan saling memarahi dan menyalahgunakan (dengan pemahaman lengkap) dan dengan menyentuh, menepuk tangan dan mengambil tangan orang lain, dll.",0
157,"Saya merasa takut dengan jenis yang paling murni setelah mengalami kecelakaan mobil. Kejadian dan bayangan horor terus kembali ke pikiranku. Saya bertanya-tanya apa yang bisa terjadi pada saudara perempuan saya, teman saya dan saya, meski tidak ada yang sangat serius yang benar-benar terjadi.",1
158,"Dua anak laki-laki yang saya kenal memberi tahu saya, dengan cara yang tidak senonoh, bagaimana mereka telah menggoda seorang gadis muda dan pemalu yang saya kenal. Mereka telah membenci keyakinannya, mencemooh dan menyentuhnya. Saya sangat marah dan tidak mencoba menyembunyikannya dan mengembalikannya kepada mereka.",2
159,"Kekasihku meninggalkanku, atau lebih tepatnya kita memutuskan untuk memutuskannya dengan persetujuan bersama. Konsekuensinya adalah - tangisan tak terkendali, perasaan kesepian, keputusasaan dan keputusasaan. Saya merasa bahwa saya harus mencari teman, untuk berbicara dengan gembira dan lupa.",3
160,"Karena penasaran, saya melihat film porno di Kopenhagen. Ruangan itu penuh dengan pria, yang terengah-engah dan masturbasi. Sangat menjijikkan",4
161,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
162,Saat saya memenangkan pertandingan tenis.,0
163,Saat anjing saya berlari keluar di atas es tipis musim semi lalu.,1
164,Saat pertandingan tenis saya terganggu karena seorang anak langsung bersepeda ke lapangan.,2
165,Perayaan pada hari wisuda dengan orkestra bermain di kebun (saya adalah bagian dari orkestra ini).,0
166,Resiko terlibat dalam perkelahian setelah berpesta.,1
167,"Saya memiliki beban kerja yang sangat berat dan dua rekan kerja, yang tidak saya tolak, menggangguku dengan ""teriakan teror"", saya terus-menerus mengganggu saya dengan menelpon.",2
168,Setelah ujian yang saya gagal.,3
169,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
170,Ketika saya bertemu dengan teman schhol tua (sekolah cinta).,0
171,"Ketika saya bersepeda ke sekolah, saya hampir terjatuh oleh sebuah mobil yang (terlalu menyalip saya) tidak memberi saya ruang santai.",1
172,"Ketika saya menjadi wakil manajer selama Musim Panas, beberapa deputi tertentu mengambil kebebasan, lebih dari apa yang normal.",2
173,"Ketika saya menyadari bahwa pacar saya, yang saya suka, dan saya akan berpisah.",3
174,Kotoran anjing yang mencair di musim semi.,4
175,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
176,Lulus ujian terakhir.,0
177,Hampir roboh oleh sebuah mobil.,1
178,Saya sampai di halte bus dan menyadari bahwa saya lupa tiket bus saya.,2
179,Beban kerja saya saat ini terlalu banyak. Perasaan itu kembali dari waktu ke waktu.,3
180,Saat anakku yang berumur satu tahun memberi saya ciuman spontan.,0
181,Ketika seseorang yang dekat dengan saya bepergian dengan mobil dan tertunda.,1
182,Bila seseorang melakukan sesuatu yang salah yang mempengaruhi saya secara negatif.,2
183,Saat aku memikirkan orangtuaku sudah tua.,3
184,"Seorang mantan rekan bertanya kepada saya apakah saya tertarik untuk bekerja di biro rekening mereka. Mereka membutuhkan ""orang pintar"" dan dia ""langsung memikirkan saya.""",0
185,Saya sedang mengemudi dan seekor rusa tiba-tiba muncul di depan mobil saat ada banyak lalu lintas di belakangku.,1
186,Saya melihat sebuah laporan tentang berita T.V tentang apartheid di Afrika Selatan.,2
187,Saat pacarku hamil.,0
188,Saat aku hampir bertabrakan dengan mobil lain.,1
189,Saat seseorang membiarkan udara keluar dari ban siklus saya.,2
190,Saat saya banyak membaca dan tidak ingat apa-apa.,3
191,Sakit panjang,3
192,Saat aku lulus ujian.,0
193,"Ketika saya bepergian dengan trem, saya tersandung dan jatuh ke pintu. Kupikir aku akan jatuh.",1
194,Ketika saya ketinggalan trem setelah mencalonkan diri untuk itu.,2
195,Ketidakmampuan membaca buku di perguruan tinggi.,3
196,Jika seorang pria tidak tertarik membuat uang muka.,4
197,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
198,Saya bekerja di kantor pengacara selama musim panas dan saya mendapat referensi bagus darinya.,0
199,Saya telah menonton sebuah triller malam yang gelap di negara ini dan saya harus pergi ke toilet luar sendirian.,1
200,"Ketika saya dituduh melakukan sesuatu yang belum saya lakukan, saya menjadi sangat marah.",2
201,"Ketika saya mulai membaca buku tebal, yang saya punya waktu terbatas untuk membaca. Juga ketika saya memiliki banyak pekerjaan yang harus dilakukan dan saya tidak bisa mengikuti.",3
202,Seseorang muntah di jalanan.,4
203,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
204,Saat aku akhirnya memenuhi syarat untuk profesiku.,0
205,Seseorang menyerang saya dengan sebuah pisau.,1
206,Seseorang masuk ke mobil saya dan kemudian menyangkal bahwa hal itu telah terjadi.,2
207,Ketika saya diberitahu bahwa istri teman saya menderita kanker.,3
208,Saat aku melihat seekor anjing yang terjatuh oleh sebuah mobil.,4
209,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
210,Saya berhenti bekerja (punya pekerjaan yang membosankan).,0
211,"Saya pulang ke rumah dengan mobil pada suatu malam saat cuaca dingin, gelap dan berangin. Saya menjadi agak panik dalam perjalanan ke rumah saya.",1
212,Bertengkar dalam keluarga.,2
213,Ketika saya sendirian di sebuah ruangan tanpa kontak dengan siapapun - kesepian menguras saya.,3
214,Saat aku sedang berlibur seseorang muntah di depanku.,4
215,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
216,Saat saya mendapat pelukan dari seseorang yang saya cintai.,0
217,Saya mengemudi dengan sangat cepat di jalan kecil dan saya bertemu dengan sebuah mobil yang melaju di tikungan tangan kanan. Pengemudi satunya berada di sisi jalannya sendiri dan aku harus menyelinap keluar dari sana untuk menghindari tabrakan. Hari sudah gelap.,1
218,Mobil saya telah ditarik oleh polisi lalu lintas karena diparkir keliru. Namun tanda itu dipasang hanya setelah saya parkir.,2
219,Setelah operasi saya harus tinggal di tempat tidur untuk waktu yang lama.,3
220,Saya terpaksa tinggal di kantin dan makan makanan yang tidak saya minta tapi tetap mendapatkannya.,4
221,"Saya terkejut sekali, tidak menyangka akan hal tersebut datang dengan tiba-tiba tanpa sepengetahuan saya, jarang sekali mendapatkan hal tidak terduga tesebut",5
222,Ketika saya memenangkan sejumlah uang tak terduga.,0
223,Putri berusia 2 tahun saya menghilang pada saat tidak diperhatikan; Saya bertanggung jawab untuknya.,1
224,"Seorang rekan bertanya kepada saya untuk beberapa saran dan karena dia tidak memiliki cukup kepercayaan pada saya, dia bertanya kepada orang ketiga.",2
225,"Saya ingin hamil dan tidak berhasil, jadi saya mengalami depresi pada setiap menstruasi.",3
226,"Di dalam bus hangat yang penuh dengan orang, seseorang muntah dan seluruh bus berbau busuk.",4
